Index;Tid;I1;U1;U2;HMI_trig;IO_trig;I_95_start;I_105_start;I_95_trip;I_105_trip;Bryterfeilvern
1;0;-163;204;200;0;0;0;0;0;0;0
2;2813;-263;202;200;0;0;0;0;0;0;0
3;5626;-341;202;200;0;0;0;0;0;0;0
4;8439;-382;202;200;0;0;0;0;0;0;0
5;11252;-371;199;200;0;0;0;0;0;0;0
6;14065;-288;194;194;0;0;0;0;0;0;0
7;16878;-180;202;197;0;0;0;0;0;0;0
8;19691;-53;204;200;0;0;0;0;0;0;0
9;22504;3;199;200;0;0;0;0;0;0;0
10;25317;83;202;202;0;0;0;0;0;0;0
11;28130;130;202;197;0;0;0;0;0;0;0
12;30943;180;202;197;0;0;0;0;0;0;0
13;33756;282;202;197;0;0;0;0;0;0;0
14;36569;360;196;197;0;0;0;0;0;0;0
15;39382;390;199;197;0;0;0;0;0;0;0
16;42195;357;199;197;0;0;0;0;0;0;0
17;45008;246;202;202;0;0;0;0;0;0;0
18;47821;141;202;200;0;0;0;0;0;0;0
19;50634;27;199;197;0;0;0;0;0;0;0
20;53447;-20;199;197;0;0;0;0;0;0;0
21;56260;-94;199;197;0;0;0;0;0;0;0
22;59073;-147;202;197;0;0;0;0;0;0;0
23;61886;-222;202;197;0;0;0;0;0;0;0
24;64699;-321;202;202;0;0;0;0;0;0;0
25;67512;-360;204;202;0;0;0;0;0;0;0
26;70325;-388;202;200;0;0;0;0;0;0;0
27;73138;-318;196;197;0;0;0;0;0;0;0
28;75951;-213;196;192;0;0;0;0;0;0;0
29;78764;-97;202;197;0;0;0;0;0;0;0
30;81577;-3;196;197;0;0;0;0;0;0;0
31;84390;55;202;197;0;0;0;0;0;0;0
32;87203;122;202;197;0;0;0;0;0;0;0
33;90016;160;199;200;0;0;0;0;0;0;0
34;92829;266;202;194;0;0;0;0;0;0;0
35;95642;340;196;194;0;0;0;0;0;0;0
36;98455;385;196;194;0;0;0;0;0;0;0
37;101268;379;202;200;0;0;0;0;0;0;0
38;104081;288;199;202;0;0;0;0;0;0;0
39;106894;180;199;197;0;0;0;0;0;0;0
40;109707;63;199;197;0;0;0;0;0;0;0
41;112520;-8;196;192;0;0;0;0;0;0;0
42;115333;-78;196;194;0;0;0;0;0;0;0
43;118146;-136;202;200;0;0;0;0;0;0;0
44;120959;-186;199;197;0;0;0;0;0;0;0
45;123772;-285;199;202;0;0;0;0;0;0;0
46;126585;-357;202;202;0;0;0;0;0;0;0
47;129398;-382;202;194;0;0;0;0;0;0;0
48;132211;-349;202;197;0;0;0;0;0;0;0
49;135024;-244;199;194;0;0;0;0;0;0;0
50;137837;-133;202;197;0;0;0;0;0;0;0
51;140650;-31;199;202;0;0;0;0;0;0;0
52;143463;22;199;200;0;0;0;0;0;0;0
53;146276;102;204;202;0;0;0;0;0;0;0
54;149089;141;199;197;0;0;0;0;0;0;0
